# Character bigrams from rime-essay
# Source: https://github.com/rime/rime-essay (Apache 2.0)
# Format: A<TAB>B<TAB>count  (A followed by B, weighted by word frequency)
# Generated by scripts/build_bigram.py — do not edit manually.
一	個	1567852
可	以	1388160
就	是	1085926
什	麼	1068895
這	個	1023019
沒	有	940332
自	己	836884
時	候	783802
我	們	776349
因	爲	719082
不	是	711748
但	是	647613
所	以	624313
如	果	602455
還	是	573098
很	多	541897
可	能	535200
需	要	519840
公	司	516220
都	是	499017
他	們	495243
中	國	479087
問	題	463997
現	在	450076
知	道	447253
的	時	439828
工	作	431648
怎	麼	415419
這	樣	403322
已	經	395808
時	間	390539
開	始	384129
這	些	380376
個	人	378410
也	是	375046
起	來	371727
或	者	368127
一	些	367234
出	來	366719
這	種	365938
大	家	365429
比	較	348051
大	學	341395
第	一	335694
還	有	327848
遊	戲	327512
那	麼	327108
其	實	326929
如	何	317002
然	後	314739
部	分	308530
選	擇	304974
非	常	303889
學	習	302277
世	界	301860
一	下	301188
爲	什	300368
最	後	296135
比	如	295731
對	於	293749
產	品	292703
不	能	292164
數	據	288667
不	會	286893
設	計	280851
其	他	280193
專	業	279367
技	術	277362
真	的	276143
而	且	273171
覺	得	273025
使	用	272483
通	過	270642
之	後	269629
進	行	268707
市	場	268114
一	樣	268038
是	一	261156
應	該	260963
呵	呵	258929
不	同	255778
能	力	250810
有	一	250501
一	定	248666
基	本	244659
國	家	242519
不	過	241633
看	到	241577
爲	了	241146
喜	歡	240718
這	是	237707
發	展	237453
下	來	237328
的	話	237134
來	說	235660
也	不	235586
企	業	233887
經	濟	232213
一	般	232010
直	接	231883
只	是	231063
作	爲	228662
研	究	228403
回	覆	226699
發	現	226671
到	了	225040
一	種	224012
不	要	223216
學	生	222804
主	要	222350
情	況	222320
雖	然	222142
一	點	221901
生	活	221532
這	麼	221328
一	次	220277
日	期	217222
我	的	216950
當	然	216295
方	面	213328
這	裏	212904
管	理	212175
內	容	210971
兩	個	210382
哈	哈	208032
系	統	207703
以	及	206884
東	西	205932
老	師	203180
社	會	202930
他	的	200030
覆	日	199709
朋	友	198304
電	影	197676
重	要	197661
出	現	197237
不	可	197211
服	務	194885
只	有	193546
樣	的	192621
美	國	190780
所	有	190280
認	爲	190219
甚	至	190081
影	響	188584
之	前	187727
不	知	187605
並	不	185904
孩	子	184563
第	二	184358
你	的	183775
分	析	183490
方	式	183051
信	息	182483
同	時	181933
有	人	181792
好	的	177758
知	識	176466
投	資	175387
這	一	175135
各	種	174615
簡	單	173979
一	直	172588
用	戶	172026
成	爲	170671
那	個	168739
也	就	168017
完	全	167719
運	動	167424
項	目	167132
過	程	166934
回	答	166075
的	是	165585
結	果	164649
基	礎	163790
幾	個	163261
價	格	162864
能	夠	161826
要	求	161286
特	別	160640
當	時	160103
地	區	159956
關	係	158710
學	校	156910
存	在	156903
主	義	155569
容	易	154748
中	的	153559
教	育	153049
裏	面	150849
希	望	150721
以	上	149438
下	去	149188
國	內	147411
歷	史	147332
目	前	146536
推	薦	145765
今	天	145613
功	能	145525
過	去	145112
只	能	144885
實	際	144484
方	法	142908
建	議	142815
在	這	142104
理	解	141149
同	學	138939
除	了	138899
自	然	137972
平	臺	137362
文	化	136519
你	們	136348
任	何	135868
後	來	135474
過	來	135332
哪	些	135095
不	到	135007
那	些	134548
有	些	134031
個	月	133201
更	多	132523
作	品	132457
國	際	131474
只	要	131260
感	覺	130866
開	發	130782
日	本	130491
一	起	130475
提	供	130155
關	於	129688
以	後	129355
因	此	129035
科	學	128121
根	據	127429
多	少	127175
之	間	126736
並	且	126465
無	法	126283
計	算	126251
手	機	126177
等	等	125996
作	用	125948
回	來	125837
就	會	125060
文	章	124809
工	程	124533
不	好	124220
而	是	124184
音	樂	124151
北	京	123547
安	全	122427
標	準	122378
也	有	122301
組	織	122290
解	決	121857
銀	行	121662
包	括	121653
出	去	121434
網	絡	121183
視	頻	121069
環	境	120994
普	通	120767
活	動	120539
學	院	120438
軟	件	120429
都	有	119481
時	代	119456
其	中	119384
注	意	119323
不	了	118125
多	人	117509
處	理	117445
價	值	117314
每	個	117261
是	不	117090
控	制	116883
瞭	解	116307
電	話	115864
效	果	115661
交	易	115390
另	外	115185
人	員	115062
生	產	114932
才	能	114385
肯	定	113365
首	先	112931
成	了	112759
由	於	112594
經	驗	112426
考	試	112258
考	慮	111683
適	合	111659
具	體	111514
事	情	110855
水	平	110497
真	正	110256
上	去	110242
是	個	110105
是	否	110075
就	可	109971
畢	竟	109944
中	心	109842
準	備	109439
電	子	109432
代	表	109388
畢	業	109182
人	民	109151
成	功	109143
品	牌	109077
基	金	108883
相	關	108703
城	市	108301
操	作	108143
地	方	107986
人	類	107964
也	可	107666
告	訴	107412
小	時	106967
整	個	106730
我	覺	106466
第	三	106398
發	生	106350
的	人	106316
大	部	106315
相	對	106253
空	間	105492
左	右	105488
確	實	105416
進	入	105040
金	融	104995
支	持	104785
資	源	104738
語	言	104138
原	因	104064
大	的	103698
有	點	103560
完	成	103483
於	是	103319
大	多	102949
看	看	102642
大	概	102472
別	人	101861
模	式	101821
讓	我	101774
有	很	101723
找	到	101661
最	大	101293
狀	態	100758
方	向	100391
藝	術	100180
不	多	99976
結	構	99929
表	現	99851
幫	助	99814
也	會	99432
一	年	99222
理	論	99201
我	是	99070
質	量	99030
未	來	98976
不	錯	98873
意	思	98792
們	的	98377
是	因	98307
我	也	98221
應	用	98048
客	戶	97927
上	來	97839
另	一	97703
不	用	97683
機	構	97600
機	會	97594
每	天	97517
而	不	97159
政	府	97062
導	致	96849
消	費	96750
實	現	96465
精	神	96431
產	生	95987
英	語	95986
需	求	95919
體	驗	95707
答	案	95693
要	是	95511
業	務	95223
關	注	95070
得	到	94717
決	定	94698
行	業	94545
最	終	94374
自	治	94273
我	就	94267
本	身	94239
階	段	94200
計	劃	94172
經	歷	93529
條	件	93494
幾	乎	93440
有	什	93085
繼	續	92982
至	於	92825
上	海	92543
多	數	92539
很	好	92521
于	是	92369
一	天	92345
成	本	92341
個	問	92229
國	人	92158
就	能	91918
會	有	91751
上	面	91674
不	斷	91333
同	樣	91247
正	常	91091
就	不	91083
都	不	91073
以	爲	90922
工	業	90714
網	站	90628
達	到	90517
玩	家	90404
也	沒	90338
保	險	90187
想	要	90028
職	業	90022
目	標	89983
必	須	89968
廣	告	89749
分	鐘	89696
電	視	89627
行	爲	89368
收	入	89002
下	面	88768
範	圍	88386
屬	於	88342
合	作	88165
閱	讀	88148
來	看	87954
身	體	87906
政	治	87807
有	的	87676
三	個	87597
更	新	87463
如	此	87445
上	的	87298
說	明	87248
況	下	87162
麼	多	86919
建	設	86915
心	理	86875
自	由	86674
資	料	86674
有	哪	86439
一	步	86361
科	技	86301
故	事	85780
多	的	85614
大	量	85415
不	一	85412
是	在	84923
定	要	84850
增	加	84828
比	賽	84556
來	的	84451
明	顯	84388
文	件	84351
給	你	84253
提	高	83950
都	會	83873
之	一	83353
清	楚	83303
很	大	83270
變	化	82902
新	聞	82613
那	種	82231
領	域	82218
作	者	82129
這	就	81804
然	而	81744
關	鍵	81693
生	物	81574
努	力	81471
領	導	81289
人	物	81017
電	腦	80929
更	加	80898
系	列	80739
好	像	80651
風	險	80590
下	麪	80408
太	多	80389
訓	練	80370
商	業	80086
課	程	80077
獲	得	79988
利	用	79950
申	請	79940
來	了	79801
按	照	79626
有	了	79593
